date,year,month_num,month,sunshine_hours
1945-06-01,1945,6,Jun,207.1
1945-07-01,1945,7,Jul,200.0
1945-08-01,1945,8,Aug,151.2
1945-09-01,1945,9,Sep,87.9
1945-10-01,1945,10,Oct,103.8
1945-11-01,1945,11,Nov,38.6
1945-12-01,1945,12,Dec,43.3
1946-01-01,1946,1,Jan,56.3
1946-02-01,1946,2,Feb,71.7
1946-03-01,1946,3,Mar,101.2
1946-04-01,1946,4,Apr,209.6
1946-05-01,1946,5,May,202.2
1946-06-01,1946,6,Jun,179.2
1946-07-01,1946,7,Jul,220.7
1946-08-01,1946,8,Aug,156.8
1946-09-01,1946,9,Sep,123.7
1946-10-01,1946,10,Oct,87.6
1946-11-01,1946,11,Nov,48.4
1946-12-01,1946,12,Dec,63.3
1947-01-01,1947,1,Jan,68.0
1947-02-01,1947,2,Feb,26.7
1947-03-01,1947,3,Mar,70.6
1947-04-01,1947,4,Apr,169.8
1947-05-01,1947,5,May,219.5
1947-06-01,1947,6,Jun,216.5
1947-07-01,1947,7,Jul,191.5
1947-08-01,1947,8,Aug,286.0
1947-09-01,1947,9,Sep,171.9
1947-10-01,1947,10,Oct,115.3
1947-11-01,1947,11,Nov,81.4
1947-12-01,1947,12,Dec,34.1
1948-01-01,1948,1,Jan,42.8
1948-02-01,1948,2,Feb,71.9
1948-03-01,1948,3,Mar,166.6
1948-04-01,1948,4,Apr,217.1
1948-05-01,1948,5,May,236.3
1948-06-01,1948,6,Jun,173.3
1948-07-01,1948,7,Jul,183.7
1948-08-01,1948,8,Aug,143.1
1948-09-01,1948,9,Sep,147.8
1948-10-01,1948,10,Oct,97.8
1948-11-01,1948,11,Nov,67.4
1948-12-01,1948,12,Dec,55.0
1949-01-01,1949,1,Jan,61.6
1949-02-01,1949,2,Feb,123.5
1949-03-01,1949,3,Mar,105.7
1949-04-01,1949,4,Apr,195.5
1949-05-01,1949,5,May,205.2
1949-06-01,1949,6,Jun,236.0
1949-07-01,1949,7,Jul,226.6
1949-08-01,1949,8,Aug,223.2
1949-09-01,1949,9,Sep,163.0
1949-10-01,1949,10,Oct,123.1
1949-11-01,1949,11,Nov,68.9
1949-12-01,1949,12,Dec,53.7
1950-01-01,1950,1,Jan,39.1
1950-02-01,1950,2,Feb,73.8
1950-03-01,1950,3,Mar,127.6
1950-04-01,1950,4,Apr,162.4
1950-05-01,1950,5,May,161.3
1950-06-01,1950,6,Jun,271.2
1950-07-01,1950,7,Jul,199.6
1950-08-01,1950,8,Aug,184.0
1950-09-01,1950,9,Sep,122.0
1950-10-01,1950,10,Oct,114.6
1950-11-01,1950,11,Nov,51.5
1950-12-01,1950,12,Dec,34.9
1951-01-01,1951,1,Jan,50.3
1951-02-01,1951,2,Feb,59.7
1951-03-01,1951,3,Mar,102.3
1951-04-01,1951,4,Apr,184.7
1951-05-01,1951,5,May,167.8
1951-06-01,1951,6,Jun,249.4
1951-07-01,1951,7,Jul,213.1
1951-08-01,1951,8,Aug,169.5
1951-09-01,1951,9,Sep,129.9
1951-10-01,1951,10,Oct,121.0
1951-11-01,1951,11,Nov,56.9
1951-12-01,1951,12,Dec,61.6
1952-01-01,1952,1,Jan,76.9
1952-02-01,1952,2,Feb,73.7
1952-03-01,1952,3,Mar,89.7
1952-04-01,1952,4,Apr,177.3
1952-05-01,1952,5,May,227.2
1952-06-01,1952,6,Jun,204.6
1952-07-01,1952,7,Jul,197.3
1952-08-01,1952,8,Aug,186.8
1952-09-01,1952,9,Sep,132.5
1952-10-01,1952,10,Oct,116.0
1952-11-01,1952,11,Nov,67.5
1952-12-01,1952,12,Dec,59.7
1953-01-01,1953,1,Jan,32.3
1953-02-01,1953,2,Feb,64.5
1953-03-01,1953,3,Mar,126.8
1953-04-01,1953,4,Apr,162.3
1953-05-01,1953,5,May,223.5
1953-06-01,1953,6,Jun,131.5
1953-07-01,1953,7,Jul,191.9
1953-08-01,1953,8,Aug,215.7
1953-09-01,1953,9,Sep,171.7
1953-10-01,1953,10,Oct,74.9
1953-11-01,1953,11,Nov,51.8
1953-12-01,1953,12,Dec,33.0
1954-01-01,1954,1,Jan,61.1
1954-02-01,1954,2,Feb,55.2
1954-03-01,1954,3,Mar,95.4
1954-04-01,1954,4,Apr,165.9
1954-05-01,1954,5,May,159.2
1954-06-01,1954,6,Jun,148.8
1954-07-01,1954,7,Jul,137.1
1954-08-01,1954,8,Aug,132.0
1954-09-01,1954,9,Sep,164.4
1954-10-01,1954,10,Oct,104.5
1954-11-01,1954,11,Nov,59.8
1954-12-01,1954,12,Dec,59.3
1955-01-01,1955,1,Jan,35.4
1955-02-01,1955,2,Feb,79.3
1955-03-01,1955,3,Mar,155.5
1955-04-01,1955,4,Apr,165.9
1955-05-01,1955,5,May,190.1
1955-06-01,1955,6,Jun,173.1
1955-07-01,1955,7,Jul,239.2
1955-08-01,1955,8,Aug,190.6
1955-09-01,1955,9,Sep,160.1
1955-10-01,1955,10,Oct,124.2
1955-11-01,1955,11,Nov,50.3
1955-12-01,1955,12,Dec,55.9
1956-01-01,1956,1,Jan,59.6
1956-02-01,1956,2,Feb,66.3
1956-03-01,1956,3,Mar,144.5
1956-04-01,1956,4,Apr,167.1
1956-05-01,1956,5,May,241.2
1956-06-01,1956,6,Jun,136.0
1956-07-01,1956,7,Jul,159.6
1956-08-01,1956,8,Aug,156.2
1956-09-01,1956,9,Sep,116.1
1956-10-01,1956,10,Oct,112.6
1956-11-01,1956,11,Nov,63.0
1956-12-01,1956,12,Dec,16.2
1957-01-01,1957,1,Jan,58.9
1957-02-01,1957,2,Feb,80.0
1957-03-01,1957,3,Mar,106.6
1957-04-01,1957,4,Apr,161.0
1957-05-01,1957,5,May,203.6
1957-06-01,1957,6,Jun,277.5
1957-07-01,1957,7,Jul,155.0
1957-08-01,1957,8,Aug,157.9
1957-09-01,1957,9,Sep,107.0
1957-10-01,1957,10,Oct,94.3
1957-11-01,1957,11,Nov,70.5
1957-12-01,1957,12,Dec,54.0
1958-01-01,1958,1,Jan,47.2
1958-02-01,1958,2,Feb,58.3
1958-03-01,1958,3,Mar,129.4
1958-04-01,1958,4,Apr,154.4
1958-05-01,1958,5,May,193.0
1958-06-01,1958,6,Jun,140.2
1958-07-01,1958,7,Jul,184.4
1958-08-01,1958,8,Aug,134.0
1958-09-01,1958,9,Sep,150.6
1958-10-01,1958,10,Oct,98.3
1958-11-01,1958,11,Nov,44.6
1958-12-01,1958,12,Dec,37.3
1959-01-01,1959,1,Jan,77.7
