Entity,Code,Year,Rape or colza seed - Production (tonnes),production_1974_tonnes,pct_difference_from_1974,pct_change_yoy
Spain,ESP,2012,53447.0,2400.0,2126.958333333333,-16.360990266345343
Spain,ESP,2013,107700.0,2400.0,4387.5,101.50803599827869
Spain,ESP,2014,104262.0,2400.0,4244.25,-3.1922005571030643
Spain,ESP,2015,149198.0,2400.0,6116.583333333333,43.099115689321145
Spain,ESP,2016,225165.0,2400.0,9281.875,50.91690237134545
Spain,ESP,2017,153665.0,2400.0,6302.708333333333,-31.75449115093376
Spain,ESP,2018,179980.0,2400.0,7399.166666666666,17.12491458692611
Spain,ESP,2019,144770.0,2400.0,5932.083333333333,-19.563284809423266
Spain,ESP,2020,196100.0,2400.0,8070.833333333333,35.456240933895145
Spain,ESP,2021,238530.0,2400.0,9838.75,21.63691993880674
Spain,ESP,2022,254590.0,2400.0,10507.916666666666,6.732905714165938
Spain,ESP,2023,170840.0,2400.0,7018.333333333334,-32.8960289092266
Spain,ESP,2024,224790.0,2400.0,9266.25,31.57925544369
Sweden,SWE,1974,351210.0,351210.0,0.0,
Sweden,SWE,1975,326560.0,351210.0,-7.018592864667863,-7.018592864667861
Sweden,SWE,1976,278740.0,351210.0,-20.63437829218985,-14.643557079862813
Sweden,SWE,1977,267250.0,351210.0,-23.905925229919426,-4.1221209729497055
Sweden,SWE,1978,327530.0,351210.0,-6.742404829019674,22.555659494855007
Sweden,SWE,1979,297100.0,351210.0,-15.406736710230346,-9.29075199218392
Sweden,SWE,1980,322920.0,351210.0,-8.055009823182711,8.690676539885555
Sweden,SWE,1981,319140.0,351210.0,-9.131288972409669,-1.170568561872909
Sweden,SWE,1982,369000.0,351210.0,5.065345519774493,15.62323745064862
Sweden,SWE,1983,373000.0,351210.0,6.204265254406196,1.084010840108407
Sweden,SWE,1984,381700.0,351210.0,8.681415677230147,2.3324396782841816
Sweden,SWE,1985,370800.0,351210.0,5.57785940035876,-2.85564579512706
Sweden,SWE,1986,373500.0,351210.0,6.346630221235158,0.728155339805836
Sweden,SWE,1987,250200.0,351210.0,-28.760570598787048,-33.01204819277108
Sweden,SWE,1988,287000.0,351210.0,-18.282509040175395,14.70823341326939
Sweden,SWE,1989,422100.0,351210.0,20.184504997010336,47.073170731707314
Sweden,SWE,1990,422000.0,351210.0,20.156032003644544,-0.0236910684671909
Sweden,SWE,1991,289000.0,351210.0,-17.713049172859545,-31.51658767772512
Sweden,SWE,1992,283000.0,351210.0,-19.421428774807094,-2.076124567474047
Sweden,SWE,1993,361000.0,351210.0,2.78750605051109,27.561837455830386
Sweden,SWE,1994,214000.0,351210.0,-39.06779419720395,-40.7202216066482
Sweden,SWE,1995,196100.0,351210.0,-44.164460009680816,-8.364485981308412
Sweden,SWE,1996,132900.0,351210.0,-62.15939181686171,-32.22845486996431
Sweden,SWE,1997,121000.0,351210.0,-65.54767802739102,-8.954100827689992
Sweden,SWE,1998,123500.0,351210.0,-64.83585319324621,2.066115702479343
Sweden,SWE,1999,162100.0,351210.0,-53.84527775405028,31.255060728744933
Sweden,SWE,2000,121500.0,351210.0,-65.40531306056205,-25.04626773596545
Sweden,SWE,2001,106000.0,351210.0,-69.81862703225991,-12.757201646090532
Sweden,SWE,2002,159200.0,351210.0,-54.67099456165827,50.18867924528303
Sweden,SWE,2003,129500.0,351210.0,-63.12747359129865,-18.655778894472363
Sweden,SWE,2004,227500.0,351210.0,-35.22394009282196,75.67567567567568
Sweden,SWE,2005,198200.0,351210.0,-43.56652714899917,-12.879120879120876
Sweden,SWE,2006,220400.0,351210.0,-37.24552262179323,11.200807265388502
Sweden,SWE,2007,222400.0,351210.0,-36.67606275447738,0.907441016333932
Sweden,SWE,2008,259400.0,351210.0,-26.141055209134134,16.636690647482013
Sweden,SWE,2009,298400.0,351210.0,-15.036587796475043,15.034695451040855
Sweden,SWE,2010,276200.0,351210.0,-21.357592323680983,-7.439678284182305
Sweden,SWE,2011,247500.0,351210.0,-29.529341419663453,-10.391020999275892
Sweden,SWE,2012,317800.0,351210.0,-9.51282708351129,28.40404040404041
Sweden,SWE,2013,327500.0,351210.0,-6.750946727029413,3.0522341095028382
Sweden,SWE,2014,322700.0,351210.0,-8.117650408587455,-1.4656488549618318
Sweden,SWE,2015,359000.0,351210.0,2.21804618319524,11.248837929965916
Sweden,SWE,2016,268100.0,351210.0,-23.663904786310187,-25.32033426183844
Sweden,SWE,2017,362700.0,351210.0,3.271546937729564,35.285341290563224
Sweden,SWE,2018,217700.0,351210.0,-38.014293442669626,-39.97794320374965
Sweden,SWE,2019,381500.0,351210.0,8.624469690498563,75.2411575562701
Sweden,SWE,2020,339300.0,351210.0,-3.391133509865892,-11.061598951507213
Sweden,SWE,2021,343500.0,351210.0,-2.1952677885026053,1.2378426171529622
Sweden,SWE,2022,427500.0,351210.0,21.72204663876313,24.45414847161571
Sweden,SWE,2023,304900.0,351210.0,-13.185843227698529,-28.678362573099413
